Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
67,Dillon Brooks,SF,28,HOU,72,2227,9.4,0.549,0.482,0.191,2.5,9.4,5.9,7.5,1.4,0.4,9.6,17.6,,0.6,2.1,2.7,0.058,,-3.3,-0.3,-3.6,-0.9
68,Bruce Brown,PG-SG,27,TOT,67,1866,11.6,0.563,0.282,0.244,3.1,14,8.5,13.2,1.5,0.8,11.8,16.5,,1.2,1,2.2,0.058,,-2.4,-1,-3.3,-0.6
68,Bruce Brown,SG,27,IND,33,981,12.2,0.568,0.322,0.261,2.9,14.9,8.9,12.3,1.7,0.6,10.5,16.7,,0.9,0.6,1.5,0.074,,-1.7,-0.5,-2.3,-0.1
68,Bruce Brown,PG,27,TOR,34,885,10.9,0.557,0.235,0.224,3.4,12.9,8.1,14.3,1.3,0.9,13.3,16.4,,0.3,0.4,0.7,0.04,,-3.1,-1.4,-4.5,-0.5
69,Charlie Brown Jr.,SG,26,NYK,8,37,-3.2,0.3,0.7,0,3,3,3,0,0,5.1,16.7,14,,-0.1,0,-0.1,-0.124,,-10.2,-3.4,-13.6,-0.1
70,Greg Brown III,PF,22,DAL,6,40,10.5,0.501,0.273,0.818,8.2,16.3,12.3,13,0,8.8,21.1,20.3,,0,0,0,0,,-5,0.6,-4.4,0
71,Jaylen Brown,SF,27,BOS,70,2343,18.6,0.58,0.326,0.239,4,13.4,8.9,16.6,1.8,1.4,10.7,28.9,,2.7,3.2,5.9,0.121,,0.9,-0.1,0.7,1.6
72,Kendall Brown,SG,20,IND,15,63,7.6,0.567,0.133,0.533,5.4,3.6,4.5,9.3,0,0,9.7,13.7,,0.1,0,0.1,0.045,,-4.2,-2.6,-6.8,-0.1
73,Kobe Brown,PF,24,LAC,44,394,7.6,0.49,0.533,0.022,5.9,11.6,8.9,8.1,1.5,1.4,9,11.1,,0.1,0.3,0.5,0.055,,-4,0.2,-3.8,-0.2
74,Moses Brown,C,24,POR,22,200,14.5,0.477,0,0.477,19.6,29.2,24.1,5.4,1.2,3.2,12.3,19.1,,-0.1,0.2,0.2,0.044,,-4.1,-2.4,-6.5,-0.2
75,Troy Brown Jr.,SF,24,TOT,59,827,8.8,0.51,0.624,0.164,3.5,16,9.8,9.7,1.4,0.3,11,14.3,,0,0.9,0.8,0.048,,-2.8,0.2,-2.6,-0.1
75,Troy Brown Jr.,SF,24,MIN,37,410,11.6,0.603,0.712,0.186,4.1,15.4,10,11.7,1,0.4,12.4,15.7,,0.4,0.6,1,0.118,,-0.2,0.5,0.4,0.2
75,Troy Brown Jr.,SF,24,DET,22,417,5.9,0.406,0.528,0.139,2.9,16.6,9.6,7.8,1.8,0.2,9.5,12.9,,-0.5,0.3,-0.2,-0.021,,-5.3,-0.2,-5.5,-0.4
76,Jalen Brunson,PG,27,NYK,77,2726,23.4,0.592,0.319,0.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,,8.8,2.4,11.2,0.198,,6.3,-0.4,5.8,5.4
77,Thomas Bryant,C,26,MIA,38,441,19,0.639,0.148,0.315,10.2,26.2,18.1,8.3,1.1,3.5,11,19.3,,0.9,0.8,1.6,0.177,,-0.6,0.2,-0.4,0.2
78,Kobe Bufkin,SG,20,ATL,17,196,9.1,0.424,0.435,0.087,3.2,15.6,9.2,19.3,1.7,2.3,9.5,22.4,,-0.3,0.1,-0.1,-0.031,,-4.3,-0.2,-4.5,-0.1
79,Reggie Bullock,SF,32,HOU,44,417,7.7,0.582,0.817,0.012,1.5,17.4,9.4,4.6,1.4,1.1,10.8,9.4,,0.1,0.5,0.6,0.072,,-2.9,0.5,-2.4,0
80,Alec Burks,SG,32,TOT,66,1212,12.9,0.536,0.58,0.293,2.2,11.8,6.9,10.7,1.1,0.9,7,24.4,,0.7,0.7,1.4,0.054,,-0.3,-2,-2.3,-0.1
80,Alec Burks,SG,32,DET,43,901,15.1,0.581,0.608,0.33,1.9,11.8,6.8,11.2,1.1,1,6.4,23.5,,1.3,0.4,1.7,0.092,,1.3,-1.7,-0.4,0.4
80,Alec Burks,SG,32,NYK,23,311,6.5,0.42,0.509,0.202,2.9,11.6,7.2,9.2,1.1,0.3,8.3,26.9,,-0.6,0.3,-0.4,-0.055,,-4.9,-3,-7.8,-0.5
81,Jared Butler,SG,23,WAS,40,566,14.1,0.579,0.388,0.179,1.7,9.5,5.5,30.9,2.4,1.2,18.7,19.9,,0.3,0.3,0.6,0.054,,-1.5,-0.5,-2.1,0
82,Jimmy Butler,PF,34,MIA,60,2042,22,0.626,0.183,0.579,5.8,11.9,8.8,23.1,1.9,0.8,9.3,24,,6.4,2.7,9.1,0.214,,3.9,0.7,4.6,3.4
83,Jamal Cain,PF,24,MIA,26,259,11.5,0.544,0.392,0.291,6.5,9.7,8.1,5.6,1.9,1.9,8.2,16.7,,0.1,0.3,0.5,0.089,,-2.5,0.2,-2.3,0
84,Kentavious Caldwell-Pope,SG,30,DEN,76,2402,10.7,0.602,0.525,0.193,1.5,6.8,4.2,9.5,2,1.5,10.5,12.9,,2.2,2.6,4.8,0.096,,-2.1,0.7,-1.4,0.4
85,Toumani Camara,PF,23,POR,70,1739,10.6,0.547,0.393,0.226,8.4,14,11,7.2,1.9,1.7,14.9,13.8,,0.6,1.4,2,0.055,,-3.1,0,-3.1,-0.5
86,Clint Capela,C,29,ATL,73,1883,20.7,0.59,0.002,0.333,18.7,26.5,22.4,6.9,1.1,5.1,9.5,17.3,,4.4,1.9,6.3,0.161,,1,-1,0.1,1
87,Jevon Carter,PG,28,CHI,72,1004,8.5,0.485,0.641,0.019,1.2,5.6,3.3,12.9,1.8,1.6,8.9,17.7,,-0.5,0.7,0.2,0.009,,-3.3,-0.7,-4,-0.5
88,Wendell Carter Jr.,C,24,ORL,55,1406,15.9,0.623,0.402,0.315,9.3,22.7,15.9,9.9,1.2,1.9,12.3,17.2,,2.2,2.1,4.4,0.149,,0.5,0.4,0.9,1
89,D.J. Carton,SG,23,TOR,4,36,9.6,0.539,0.5,0.625,6,6.2,6.1,10.5,1.3,0,8.9,13.3,,0,0,0,0.062,,-4.2,-1.1,-5.3,0
90,Alex Caruso,SG,29,CHI,71,2040,14.5,0.613,0.616,0.177,3.3,11.8,7.5,16.4,2.9,3.5,14.9,14.7,,2.3,2.6,4.9,0.115,,0.2,2.3,2.5,2.3
